cell_id,Cell,Batch,Cell_type,ExpLibSize,Group
Cell198,Cell198,Sample2,Cell_type3,39592.1205729679,Group3
Cell200,Cell200,Sample2,Cell_type2,66540.7437530989,Group2
Cell202,Cell202,Sample2,Cell_type1,84355.6925137875,Group1
Cell204,Cell204,Sample2,Cell_type1,93284.1038701297,Group1
Cell206,Cell206,Sample2,Cell_type2,56003.1295766891,Group2
Cell208,Cell208,Sample2,Cell_type3,51012.4388225843,Group3
Cell210,Cell210,Sample2,Cell_type1,58042.3877272568,Group1
Cell212,Cell212,Sample2,Cell_type2,61888.352207828,Group2
Cell214,Cell214,Sample2,Cell_type3,71461.6617780467,Group3
Cell216,Cell216,Sample2,Cell_type2,64703.7674237281,Group2
Cell218,Cell218,Sample2,Cell_type3,37818.4126671322,Group3
Cell220,Cell220,Sample2,Cell_type2,68903.0806798986,Group2
Cell222,Cell222,Sample2,Cell_type3,67519.6170086941,Group3
Cell224,Cell224,Sample2,Cell_type2,61201.3850547518,Group2
Cell226,Cell226,Sample2,Cell_type3,54419.9166465749,Group3
Cell228,Cell228,Sample2,Cell_type3,60053.5528828673,Group3
Cell230,Cell230,Sample2,Cell_type3,68065.1296722922,Group3
Cell232,Cell232,Sample2,Cell_type2,80314.0099101959,Group2
Cell234,Cell234,Sample2,Cell_type3,50989.1653645431,Group3
Cell236,Cell236,Sample2,Cell_type2,62010.1245007135,Group2
Cell238,Cell238,Sample2,Cell_type1,62323.9684375184,Group1
Cell240,Cell240,Sample2,Cell_type2,51149.3936275133,Group2
Cell242,Cell242,Sample2,Cell_type1,38537.8891869034,Group1
Cell244,Cell244,Sample2,Cell_type1,57214.9215286758,Group1
Cell246,Cell246,Sample2,Cell_type1,56224.0254294626,Group1
Cell248,Cell248,Sample2,Cell_type3,53375.5641828321,Group3
Cell250,Cell250,Sample2,Cell_type3,78581.423015721,Group3
Cell252,Cell252,Sample2,Cell_type3,64697.6946087777,Group3
Cell254,Cell254,Sample2,Cell_type1,51647.5898331296,Group1
Cell256,Cell256,Sample2,Cell_type2,100441.635493449,Group2
Cell258,Cell258,Sample2,Cell_type3,61601.5300047298,Group3
Cell260,Cell260,Sample2,Cell_type3,52918.9864430309,Group3
Cell262,Cell262,Sample2,Cell_type1,56798.4608428042,Group1
Cell264,Cell264,Sample2,Cell_type3,102839.74734108,Group3
Cell266,Cell266,Sample2,Cell_type1,53467.0331305437,Group1
Cell268,Cell268,Sample2,Cell_type2,61846.6269839157,Group2
Cell270,Cell270,Sample2,Cell_type3,45154.5813592242,Group3
Cell272,Cell272,Sample2,Cell_type3,44654.8165251783,Group3
Cell274,Cell274,Sample2,Cell_type3,50333.3480401821,Group3
Cell276,Cell276,Sample2,Cell_type3,65920.6392153652,Group3
Cell278,Cell278,Sample2,Cell_type1,68787.7547583917,Group1
Cell280,Cell280,Sample2,Cell_type2,70941.5042072399,Group2
Cell282,Cell282,Sample2,Cell_type3,61025.3817639721,Group3
Cell284,Cell284,Sample2,Cell_type3,55077.4124790468,Group3
Cell286,Cell286,Sample2,Cell_type1,83677.4138097473,Group1
Cell288,Cell288,Sample2,Cell_type2,52904.7197543874,Group2
Cell290,Cell290,Sample2,Cell_type3,79333.0479393222,Group3
Cell292,Cell292,Sample2,Cell_type3,66606.6964060093,Group3
Cell294,Cell294,Sample2,Cell_type3,65211.5447107784,Group3
Cell296,Cell296,Sample2,Cell_type2,60944.774066887,Group2
Cell298,Cell298,Sample2,Cell_type1,46194.6927504677,Group1
Cell300,Cell300,Sample2,Cell_type3,84174.4945354953,Group3
Cell302,Cell302,Sample2,Cell_type3,40054.8398076071,Group3
Cell304,Cell304,Sample2,Cell_type3,60462.7140243389,Group3
Cell306,Cell306,Sample2,Cell_type3,55684.5153417121,Group3
Cell308,Cell308,Sample2,Cell_type2,62439.0773427397,Group2
Cell310,Cell310,Sample2,Cell_type3,47933.1532254294,Group3
Cell312,Cell312,Sample2,Cell_type2,60180.8002206794,Group2
Cell314,Cell314,Sample2,Cell_type3,65616.4958632769,Group3
Cell316,Cell316,Sample2,Cell_type3,44682.8345831666,Group3
Cell318,Cell318,Sample2,Cell_type3,66803.7445612863,Group3
Cell320,Cell320,Sample2,Cell_type3,58179.0680434039,Group3
Cell322,Cell322,Sample2,Cell_type2,71091.917578432,Group2
Cell324,Cell324,Sample2,Cell_type1,56694.9481054339,Group1
Cell326,Cell326,Sample2,Cell_type3,61900.3737677832,Group3
Cell328,Cell328,Sample2,Cell_type1,95367.2692507642,Group1
Cell330,Cell330,Sample2,Cell_type2,82644.1137344173,Group2
Cell332,Cell332,Sample2,Cell_type3,93136.432662033,Group3
Cell334,Cell334,Sample2,Cell_type2,80008.4977951994,Group2
Cell336,Cell336,Sample2,Cell_type3,65501.3330379937,Group3
Cell338,Cell338,Sample2,Cell_type2,68372.6605630723,Group2
Cell340,Cell340,Sample2,Cell_type3,77242.1642159107,Group3
Cell342,Cell342,Sample2,Cell_type3,65871.7494695967,Group3
Cell344,Cell344,Sample2,Cell_type3,46724.2606112576,Group3
Cell346,Cell346,Sample2,Cell_type3,66524.8878545706,Group3
Cell348,Cell348,Sample2,Cell_type3,49286.5360203744,Group3
Cell350,Cell350,Sample2,Cell_type2,52881.572883473,Group2
Cell352,Cell352,Sample2,Cell_type2,57982.7698950905,Group2
Cell354,Cell354,Sample2,Cell_type2,54138.203855607,Group2
Cell356,Cell356,Sample2,Cell_type2,57589.7604865578,Group2
Cell358,Cell358,Sample2,Cell_type3,91286.037851605,Group3
Cell360,Cell360,Sample2,Cell_type2,70705.6010036909,Group2
Cell362,Cell362,Sample2,Cell_type2,76025.4199546611,Group2
Cell364,Cell364,Sample2,Cell_type3,36170.0383316673,Group3
Cell366,Cell366,Sample2,Cell_type3,39768.5858286162,Group3
Cell368,Cell368,Sample2,Cell_type3,53150.0672608971,Group3
Cell370,Cell370,Sample2,Cell_type3,87112.1205192117,Group3
Cell372,Cell372,Sample2,Cell_type3,56647.6871770921,Group3
Cell374,Cell374,Sample2,Cell_type2,66271.166418798,Group2
Cell376,Cell376,Sample2,Cell_type2,52246.2406547593,Group2
Cell378,Cell378,Sample2,Cell_type3,54709.5196166817,Group3
Cell380,Cell380,Sample2,Cell_type3,58100.2799907397,Group3
Cell382,Cell382,Sample2,Cell_type2,76348.9623165852,Group2
Cell384,Cell384,Sample2,Cell_type3,86845.400071129,Group3
Cell386,Cell386,Sample2,Cell_type1,67849.2278850486,Group1
Cell388,Cell388,Sample2,Cell_type2,70016.4451281427,Group2
Cell390,Cell390,Sample2,Cell_type3,70933.6070603339,Group3
Cell392,Cell392,Sample2,Cell_type3,61450.4070560615,Group3
Cell394,Cell394,Sample2,Cell_type3,65754.8796005835,Group3
Cell396,Cell396,Sample2,Cell_type3,53881.7378160792,Group3
Cell398,Cell398,Sample2,Cell_type3,65924.1993745166,Group3
Cell400,Cell400,Sample2,Cell_type2,50104.2769844145,Group2
Cell402,Cell402,Sample2,Cell_type2,59618.7514820112,Group2
Cell404,Cell404,Sample2,Cell_type3,49451.2872467913,Group3
Cell406,Cell406,Sample2,Cell_type1,78622.9603312517,Group1
Cell408,Cell408,Sample2,Cell_type2,58623.9353882197,Group2
Cell410,Cell410,Sample2,Cell_type1,54892.5067595199,Group1
Cell412,Cell412,Sample2,Cell_type1,48947.3699529817,Group1
Cell414,Cell414,Sample2,Cell_type3,72154.4876047223,Group3
Cell416,Cell416,Sample2,Cell_type3,56331.7855936493,Group3
Cell418,Cell418,Sample2,Cell_type3,86210.0888540235,Group3
Cell420,Cell420,Sample2,Cell_type2,75855.581828254,Group2
Cell422,Cell422,Sample2,Cell_type2,59008.8996476172,Group2
Cell424,Cell424,Sample2,Cell_type1,94897.1522511803,Group1
Cell426,Cell426,Sample2,Cell_type1,76449.8307281784,Group1
Cell428,Cell428,Sample2,Cell_type3,59688.3560234247,Group3
Cell430,Cell430,Sample2,Cell_type3,61129.0308342245,Group3
Cell432,Cell432,Sample2,Cell_type1,56351.8360069301,Group1
Cell434,Cell434,Sample2,Cell_type3,67640.0580208131,Group3
Cell436,Cell436,Sample2,Cell_type3,54802.7859647852,Group3
Cell438,Cell438,Sample2,Cell_type3,65454.9309127725,Group3
Cell440,Cell440,Sample2,Cell_type2,70152.2418621142,Group2
Cell442,Cell442,Sample2,Cell_type3,50652.0945251357,Group3
Cell444,Cell444,Sample2,Cell_type3,61964.5227551464,Group3
Cell446,Cell446,Sample2,Cell_type2,74801.946384817,Group2
Cell448,Cell448,Sample2,Cell_type3,64664.4123534631,Group3
Cell450,Cell450,Sample2,Cell_type3,57743.517111443,Group3
Cell452,Cell452,Sample2,Cell_type3,42740.7877261444,Group3
Cell454,Cell454,Sample2,Cell_type3,81464.4962633395,Group3
Cell456,Cell456,Sample2,Cell_type3,64807.7568881098,Group3
Cell458,Cell458,Sample2,Cell_type3,60176.5944275298,Group3
Cell460,Cell460,Sample2,Cell_type3,59044.9158714704,Group3
Cell462,Cell462,Sample2,Cell_type3,62442.922344633,Group3
Cell464,Cell464,Sample2,Cell_type1,50147.1708909868,Group1
Cell466,Cell466,Sample2,Cell_type2,35248.1182484606,Group2
Cell468,Cell468,Sample2,Cell_type3,65494.0614115024,Group3
Cell470,Cell470,Sample2,Cell_type1,40125.4742669886,Group1
Cell472,Cell472,Sample2,Cell_type1,69978.6322960078,Group1
Cell474,Cell474,Sample2,Cell_type1,73178.417913807,Group1
Cell476,Cell476,Sample2,Cell_type3,66445.834467286,Group3
Cell478,Cell478,Sample2,Cell_type3,71249.8054686185,Group3
Cell480,Cell480,Sample2,Cell_type2,45470.0885190597,Group2
Cell482,Cell482,Sample2,Cell_type3,77258.6036980531,Group3
Cell484,Cell484,Sample2,Cell_type3,53225.3705390921,Group3
Cell486,Cell486,Sample2,Cell_type1,63010.0480385746,Group1
Cell488,Cell488,Sample2,Cell_type3,61652.6123262654,Group3
Cell490,Cell490,Sample2,Cell_type3,75139.9359150403,Group3
Cell492,Cell492,Sample2,Cell_type1,69946.170453881,Group1
Cell494,Cell494,Sample2,Cell_type1,60387.5854317147,Group1
Cell496,Cell496,Sample2,Cell_type2,87475.3642952899,Group2
Cell498,Cell498,Sample2,Cell_type3,63835.2071710993,Group3
Cell500,Cell500,Sample2,Cell_type1,94589.7194020508,Group1
Cell502,Cell502,Sample2,Cell_type2,54630.6967420032,Group2
Cell504,Cell504,Sample2,Cell_type2,50620.2134454825,Group2
Cell506,Cell506,Sample2,Cell_type1,68330.1491107042,Group1
Cell508,Cell508,Sample2,Cell_type3,67609.2957928693,Group3
Cell510,Cell510,Sample2,Cell_type3,46799.3142539427,Group3
Cell512,Cell512,Sample2,Cell_type1,63349.6020753233,Group1
Cell514,Cell514,Sample2,Cell_type3,71143.3835362558,Group3
Cell516,Cell516,Sample2,Cell_type3,49841.3713593699,Group3
Cell518,Cell518,Sample2,Cell_type2,46011.9199408101,Group2
Cell520,Cell520,Sample2,Cell_type2,57413.6988432852,Group2
Cell522,Cell522,Sample2,Cell_type3,45479.3008118917,Group3
Cell524,Cell524,Sample2,Cell_type2,39182.8684230257,Group2
Cell526,Cell526,Sample2,Cell_type2,60166.9972024659,Group2
Cell528,Cell528,Sample2,Cell_type2,65986.5615054234,Group2
Cell530,Cell530,Sample2,Cell_type3,66550.3718565945,Group3
Cell532,Cell532,Sample2,Cell_type1,39511.5392515467,Group1
Cell534,Cell534,Sample2,Cell_type1,56206.9642358311,Group1
Cell536,Cell536,Sample2,Cell_type2,55465.2289561622,Group2
Cell538,Cell538,Sample2,Cell_type3,46778.7650797149,Group3
Cell540,Cell540,Sample2,Cell_type2,67290.1255417562,Group2
Cell542,Cell542,Sample2,Cell_type3,50264.8909389052,Group3
Cell544,Cell544,Sample2,Cell_type2,70140.6328412524,Group2
Cell546,Cell546,Sample2,Cell_type1,76756.2694490202,Group1
Cell548,Cell548,Sample2,Cell_type3,59618.3532802678,Group3
Cell550,Cell550,Sample2,Cell_type1,49200.3039718489,Group1
Cell552,Cell552,Sample2,Cell_type3,50936.5056161375,Group3
Cell554,Cell554,Sample2,Cell_type3,42236.9962353067,Group3
Cell556,Cell556,Sample2,Cell_type2,74281.2583498365,Group2
Cell558,Cell558,Sample2,Cell_type3,82511.471918213,Group3
Cell560,Cell560,Sample2,Cell_type3,59677.8957816084,Group3
Cell562,Cell562,Sample2,Cell_type3,63757.9104168707,Group3
Cell564,Cell564,Sample2,Cell_type2,37464.7315672708,Group2
Cell566,Cell566,Sample2,Cell_type2,65403.3938190362,Group2
Cell568,Cell568,Sample2,Cell_type3,72506.4833155168,Group3
Cell570,Cell570,Sample2,Cell_type3,102596.763218613,Group3
Cell572,Cell572,Sample2,Cell_type2,51181.2125549733,Group2
Cell574,Cell574,Sample2,Cell_type3,56851.9206632821,Group3
Cell576,Cell576,Sample2,Cell_type3,48056.3737455431,Group3
Cell578,Cell578,Sample2,Cell_type1,68524.5496763102,Group1
Cell580,Cell580,Sample2,Cell_type3,48910.3099330366,Group3
Cell582,Cell582,Sample2,Cell_type2,68018.7369272341,Group2
Cell584,Cell584,Sample2,Cell_type3,63122.9947876829,Group3
Cell586,Cell586,Sample2,Cell_type3,83342.86245037,Group3
Cell588,Cell588,Sample2,Cell_type2,53619.5198276105,Group2
Cell590,Cell590,Sample2,Cell_type3,64312.5742441691,Group3
Cell592,Cell592,Sample2,Cell_type3,63655.7810360052,Group3
Cell594,Cell594,Sample2,Cell_type3,113083.562562495,Group3
Cell596,Cell596,Sample2,Cell_type3,60382.8692695233,Group3
Cell598,Cell598,Sample2,Cell_type3,48743.5854197512,Group3
Cell600,Cell600,Sample2,Cell_type2,61607.2088201824,Group2
Cell602,Cell602,Sample2,Cell_type3,63622.4009558558,Group3
Cell604,Cell604,Sample2,Cell_type2,59708.3841555315,Group2
Cell606,Cell606,Sample2,Cell_type3,44102.9396092592,Group3
Cell608,Cell608,Sample2,Cell_type3,60777.2910281933,Group3
Cell610,Cell610,Sample2,Cell_type1,69047.4340929604,Group1
Cell612,Cell612,Sample2,Cell_type3,65232.2460709254,Group3
Cell614,Cell614,Sample2,Cell_type1,63964.4696765503,Group1
Cell616,Cell616,Sample2,Cell_type3,51109.3999072298,Group3
Cell618,Cell618,Sample2,Cell_type3,47790.1027842365,Group3
Cell620,Cell620,Sample2,Cell_type3,76111.6585012436,Group3
Cell622,Cell622,Sample2,Cell_type2,65145.3044720206,Group2
Cell624,Cell624,Sample2,Cell_type1,48806.9556572826,Group1
Cell626,Cell626,Sample2,Cell_type2,61877.5226765346,Group2
Cell628,Cell628,Sample2,Cell_type3,71873.7012373904,Group3
Cell630,Cell630,Sample2,Cell_type3,55312.7375550581,Group3
Cell632,Cell632,Sample2,Cell_type3,69018.2355048521,Group3
Cell634,Cell634,Sample2,Cell_type2,71601.835065468,Group2
Cell636,Cell636,Sample2,Cell_type3,71436.3509541846,Group3
Cell638,Cell638,Sample2,Cell_type3,56232.0516156455,Group3
Cell640,Cell640,Sample2,Cell_type3,60088.6250405294,Group3
Cell642,Cell642,Sample2,Cell_type2,50914.1956534273,Group2
Cell644,Cell644,Sample2,Cell_type3,75401.7317010982,Group3
Cell646,Cell646,Sample2,Cell_type3,79857.2348572519,Group3
Cell648,Cell648,Sample2,Cell_type3,79635.4538771093,Group3
Cell650,Cell650,Sample2,Cell_type3,89847.577058155,Group3
Cell652,Cell652,Sample2,Cell_type1,43947.210464729,Group1
Cell654,Cell654,Sample2,Cell_type1,47463.9162313488,Group1
Cell656,Cell656,Sample2,Cell_type1,63159.8153702487,Group1
Cell658,Cell658,Sample2,Cell_type2,50306.4337319407,Group2
Cell660,Cell660,Sample2,Cell_type3,57599.3536816748,Group3
Cell662,Cell662,Sample2,Cell_type3,50896.4927642798,Group3
Cell664,Cell664,Sample2,Cell_type1,71435.3641817348,Group1
Cell666,Cell666,Sample2,Cell_type3,85786.6157947317,Group3
Cell668,Cell668,Sample2,Cell_type3,57749.3132771892,Group3
Cell670,Cell670,Sample2,Cell_type3,49342.2303097911,Group3
Cell672,Cell672,Sample2,Cell_type2,43480.201601045,Group2
Cell674,Cell674,Sample2,Cell_type3,38701.9809492235,Group3
Cell676,Cell676,Sample2,Cell_type2,72840.6841949892,Group2
Cell678,Cell678,Sample2,Cell_type3,46980.8662762443,Group3
Cell680,Cell680,Sample2,Cell_type2,80789.3608328952,Group2
Cell682,Cell682,Sample2,Cell_type1,75756.6910307202,Group1
Cell684,Cell684,Sample2,Cell_type3,64842.9644220188,Group3
Cell686,Cell686,Sample2,Cell_type1,63996.3162570706,Group1
Cell688,Cell688,Sample2,Cell_type1,56758.8366904819,Group1
Cell690,Cell690,Sample2,Cell_type3,42224.3962533391,Group3
Cell692,Cell692,Sample2,Cell_type3,80519.3283152727,Group3
Cell694,Cell694,Sample2,Cell_type3,55139.558935102,Group3
Cell696,Cell696,Sample2,Cell_type1,64143.8173705376,Group1
Cell698,Cell698,Sample2,Cell_type3,55897.9248975169,Group3
Cell700,Cell700,Sample2,Cell_type3,63369.1317147396,Group3
Cell702,Cell702,Sample2,Cell_type2,56224.4403628477,Group2
Cell704,Cell704,Sample2,Cell_type2,52871.2956092597,Group2
Cell706,Cell706,Sample2,Cell_type2,55917.709570826,Group2
Cell708,Cell708,Sample2,Cell_type3,70089.7823337103,Group3
Cell710,Cell710,Sample2,Cell_type3,73177.4429096396,Group3
Cell712,Cell712,Sample2,Cell_type2,60920.8665424426,Group2
Cell714,Cell714,Sample2,Cell_type2,64854.8333267104,Group2
Cell716,Cell716,Sample2,Cell_type2,50292.7789919716,Group2
Cell718,Cell718,Sample2,Cell_type1,68664.0427890962,Group1
Cell720,Cell720,Sample2,Cell_type2,70963.557888987,Group2
Cell722,Cell722,Sample2,Cell_type2,90633.9466690197,Group2
Cell724,Cell724,Sample2,Cell_type3,43208.3513423093,Group3
Cell726,Cell726,Sample2,Cell_type1,66301.5965696102,Group1
Cell728,Cell728,Sample2,Cell_type3,52437.7771746978,Group3
Cell730,Cell730,Sample2,Cell_type3,64970.9450044536,Group3
Cell732,Cell732,Sample2,Cell_type2,83821.9515767727,Group2
Cell734,Cell734,Sample2,Cell_type2,81446.117845067,Group2
Cell736,Cell736,Sample2,Cell_type3,64068.6671960433,Group3
Cell738,Cell738,Sample2,Cell_type2,66186.4677004447,Group2
Cell740,Cell740,Sample2,Cell_type3,54879.9433543617,Group3
Cell742,Cell742,Sample2,Cell_type3,45567.6359735229,Group3
Cell744,Cell744,Sample2,Cell_type1,61907.6370899707,Group1
Cell746,Cell746,Sample2,Cell_type3,59999.87980393,Group3
Cell748,Cell748,Sample2,Cell_type1,57558.8475133466,Group1
Cell750,Cell750,Sample2,Cell_type3,54347.7572550721,Group3
Cell752,Cell752,Sample2,Cell_type2,56167.5324581167,Group2
Cell754,Cell754,Sample2,Cell_type2,45925.3966119967,Group2
Cell756,Cell756,Sample2,Cell_type1,70958.4302714935,Group1
Cell758,Cell758,Sample2,Cell_type2,66317.7827713964,Group2
Cell760,Cell760,Sample2,Cell_type3,73756.1402587999,Group3
Cell762,Cell762,Sample2,Cell_type2,69222.9852347016,Group2
Cell764,Cell764,Sample2,Cell_type3,69525.6865282208,Group3
Cell766,Cell766,Sample2,Cell_type3,44459.7190481501,Group3
Cell768,Cell768,Sample2,Cell_type2,60397.0354302588,Group2
Cell770,Cell770,Sample2,Cell_type2,74066.2936264845,Group2
Cell772,Cell772,Sample2,Cell_type3,58914.5960898969,Group3
Cell774,Cell774,Sample2,Cell_type3,61345.5320425187,Group3
Cell776,Cell776,Sample2,Cell_type3,87225.7962913338,Group3
Cell778,Cell778,Sample2,Cell_type3,56254.2227971635,Group3
Cell780,Cell780,Sample2,Cell_type3,61324.6284589056,Group3
Cell782,Cell782,Sample2,Cell_type3,73299.8325898068,Group3
Cell784,Cell784,Sample2,Cell_type3,40439.247782459,Group3
Cell786,Cell786,Sample2,Cell_type2,67018.5913672462,Group2
Cell788,Cell788,Sample2,Cell_type3,81253.9926801013,Group3
Cell790,Cell790,Sample2,Cell_type2,70769.4768057774,Group2
Cell792,Cell792,Sample2,Cell_type3,44961.3143898571,Group3
Cell794,Cell794,Sample2,Cell_type1,70579.4281570117,Group1
Cell796,Cell796,Sample2,Cell_type1,46304.3778251163,Group1
Cell798,Cell798,Sample2,Cell_type2,51441.4915450684,Group2
Cell800,Cell800,Sample2,Cell_type3,55830.6051994086,Group3
Cell802,Cell802,Sample2,Cell_type1,77371.9076419162,Group1
Cell804,Cell804,Sample2,Cell_type1,42757.374557512,Group1
Cell806,Cell806,Sample2,Cell_type3,61735.0132987271,Group3
Cell808,Cell808,Sample2,Cell_type1,47110.2438386485,Group1
Cell810,Cell810,Sample2,Cell_type2,61229.3639701093,Group2
Cell812,Cell812,Sample2,Cell_type1,60556.3963212244,Group1
Cell814,Cell814,Sample2,Cell_type1,53329.4485343006,Group1
Cell816,Cell816,Sample2,Cell_type3,55582.5103802046,Group3
Cell818,Cell818,Sample2,Cell_type1,55168.5109116095,Group1
Cell820,Cell820,Sample2,Cell_type3,54117.8025385479,Group3
Cell822,Cell822,Sample2,Cell_type2,62903.4342542845,Group2
Cell824,Cell824,Sample2,Cell_type2,44215.760115327,Group2
Cell826,Cell826,Sample2,Cell_type2,55133.341125245,Group2
Cell828,Cell828,Sample2,Cell_type3,45111.5462882621,Group3
Cell830,Cell830,Sample2,Cell_type3,64248.9477657867,Group3
Cell832,Cell832,Sample2,Cell_type1,57142.284906568,Group1
Cell834,Cell834,Sample2,Cell_type3,48981.4933867389,Group3
Cell836,Cell836,Sample2,Cell_type2,62557.5174901569,Group2
Cell838,Cell838,Sample2,Cell_type3,52811.028790752,Group3
Cell840,Cell840,Sample2,Cell_type2,69425.673353926,Group2
Cell842,Cell842,Sample2,Cell_type1,73157.4004276564,Group1
Cell844,Cell844,Sample2,Cell_type3,52087.30037335,Group3
Cell846,Cell846,Sample2,Cell_type1,56500.7423164375,Group1
Cell848,Cell848,Sample2,Cell_type3,78379.9794199004,Group3
Cell850,Cell850,Sample2,Cell_type3,39262.5237661844,Group3
Cell852,Cell852,Sample2,Cell_type3,69417.3927235973,Group3
Cell854,Cell854,Sample2,Cell_type3,90396.4482488398,Group3
Cell856,Cell856,Sample2,Cell_type3,74664.6188605458,Group3
Cell858,Cell858,Sample2,Cell_type1,79746.0326144147,Group1
Cell860,Cell860,Sample2,Cell_type3,59124.2174201261,Group3
Cell862,Cell862,Sample2,Cell_type3,61390.2334772779,Group3
Cell864,Cell864,Sample2,Cell_type3,44804.8407917959,Group3
Cell866,Cell866,Sample2,Cell_type1,76964.5888950717,Group1
Cell868,Cell868,Sample2,Cell_type2,46712.4266494046,Group2
Cell870,Cell870,Sample2,Cell_type2,54936.834885705,Group2
Cell872,Cell872,Sample2,Cell_type2,41955.2202153583,Group2
Cell874,Cell874,Sample2,Cell_type1,54491.4870977598,Group1
Cell876,Cell876,Sample2,Cell_type2,58037.9198658874,Group2
Cell878,Cell878,Sample2,Cell_type3,75838.1979960062,Group3
Cell880,Cell880,Sample2,Cell_type1,78708.0682090585,Group1
Cell882,Cell882,Sample2,Cell_type3,37302.7947010763,Group3
Cell884,Cell884,Sample2,Cell_type3,53849.8201299232,Group3
Cell886,Cell886,Sample2,Cell_type2,56735.4093900774,Group2
Cell888,Cell888,Sample2,Cell_type3,69229.0917790511,Group3
Cell890,Cell890,Sample2,Cell_type1,52737.6262321,Group1
Cell892,Cell892,Sample2,Cell_type2,71833.4081732654,Group2
Cell894,Cell894,Sample2,Cell_type1,65098.7386516903,Group1
Cell896,Cell896,Sample2,Cell_type2,44546.9600557337,Group2
Cell898,Cell898,Sample2,Cell_type1,58776.9686315821,Group1
Cell900,Cell900,Sample2,Cell_type3,79131.7489603399,Group3
Cell902,Cell902,Sample2,Cell_type3,69036.2685740113,Group3
Cell904,Cell904,Sample2,Cell_type3,60162.4644349419,Group3
Cell906,Cell906,Sample2,Cell_type2,55318.0089102036,Group2
Cell908,Cell908,Sample2,Cell_type1,57028.6667741823,Group1
Cell910,Cell910,Sample2,Cell_type2,51845.4589341237,Group2
Cell912,Cell912,Sample2,Cell_type2,63061.17249451,Group2
Cell914,Cell914,Sample2,Cell_type2,54720.9133685196,Group2
Cell916,Cell916,Sample2,Cell_type1,61714.6463907629,Group1
Cell918,Cell918,Sample2,Cell_type1,55811.4249951572,Group1
Cell920,Cell920,Sample2,Cell_type2,52092.5660886489,Group2
Cell922,Cell922,Sample2,Cell_type1,62801.611980592,Group1
Cell924,Cell924,Sample2,Cell_type2,76452.3747421497,Group2
Cell926,Cell926,Sample2,Cell_type3,60130.6239714759,Group3
Cell928,Cell928,Sample2,Cell_type1,50537.8731864433,Group1
Cell930,Cell930,Sample2,Cell_type3,57171.0184468022,Group3
Cell932,Cell932,Sample2,Cell_type2,55179.5901217195,Group2
Cell934,Cell934,Sample2,Cell_type2,50068.4721033255,Group2
Cell936,Cell936,Sample2,Cell_type2,66940.8869842973,Group2
Cell938,Cell938,Sample2,Cell_type3,43428.3819110914,Group3
Cell940,Cell940,Sample2,Cell_type2,58113.5570668767,Group2
Cell942,Cell942,Sample2,Cell_type3,55536.4024671979,Group3
Cell944,Cell944,Sample2,Cell_type3,51660.1724819982,Group3
Cell946,Cell946,Sample2,Cell_type2,67470.4747485906,Group2
Cell948,Cell948,Sample2,Cell_type2,43912.0720837283,Group2
Cell950,Cell950,Sample2,Cell_type3,59231.1059639969,Group3
Cell952,Cell952,Sample2,Cell_type3,65544.6653735444,Group3
Cell954,Cell954,Sample2,Cell_type3,78594.0915304403,Group3
Cell956,Cell956,Sample2,Cell_type2,52660.5127247697,Group2
Cell958,Cell958,Sample2,Cell_type1,54757.9620101736,Group1
Cell960,Cell960,Sample2,Cell_type3,52856.1095414291,Group3
Cell962,Cell962,Sample2,Cell_type3,56743.6051917109,Group3
Cell964,Cell964,Sample2,Cell_type3,64590.8571965792,Group3
Cell966,Cell966,Sample2,Cell_type1,62658.3929697479,Group1
Cell968,Cell968,Sample2,Cell_type2,37926.3521125063,Group2
Cell970,Cell970,Sample2,Cell_type2,87060.4226357126,Group2
Cell972,Cell972,Sample2,Cell_type3,73338.4200871491,Group3
Cell974,Cell974,Sample2,Cell_type3,53540.9874725987,Group3
Cell976,Cell976,Sample2,Cell_type3,54000.2860418985,Group3
Cell978,Cell978,Sample2,Cell_type1,60749.2429713828,Group1
Cell980,Cell980,Sample2,Cell_type1,68815.782290158,Group1
Cell982,Cell982,Sample2,Cell_type1,65226.1275734419,Group1
Cell984,Cell984,Sample2,Cell_type3,72468.2301883277,Group3
Cell986,Cell986,Sample2,Cell_type3,66403.5777880978,Group3
Cell988,Cell988,Sample2,Cell_type3,78378.7069037667,Group3
Cell990,Cell990,Sample2,Cell_type3,44244.9589115856,Group3
Cell992,Cell992,Sample2,Cell_type3,51518.1882484083,Group3
Cell994,Cell994,Sample2,Cell_type2,50670.0149242468,Group2
Cell996,Cell996,Sample2,Cell_type2,69881.8000855505,Group2
Cell998,Cell998,Sample2,Cell_type2,59342.34909975,Group2
Cell1000,Cell1000,Sample2,Cell_type3,65665.5265352353,Group3
Cell1002,Cell1002,Sample2,Cell_type3,67230.4606009379,Group3
Cell1004,Cell1004,Sample2,Cell_type2,47424.8257579077,Group2
Cell1006,Cell1006,Sample2,Cell_type3,48568.0789094285,Group3
Cell1008,Cell1008,Sample2,Cell_type2,55413.9904058816,Group2
Cell1010,Cell1010,Sample2,Cell_type3,74209.2135615039,Group3
Cell1012,Cell1012,Sample2,Cell_type3,77533.4379128737,Group3
Cell1014,Cell1014,Sample2,Cell_type3,82316.2590719817,Group3
Cell1016,Cell1016,Sample2,Cell_type3,67688.4919875353,Group3
Cell1018,Cell1018,Sample2,Cell_type2,58664.3738027334,Group2
